epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
56,6285553152.0,60944.1640625,79281.484375,6221136384.0,61015.6171875,78874.1796875
57,6286904832.0,61029.66796875,79290.0078125,6231797760.0,60313.015625,78941.734375
58,6298511360.0,60918.81640625,79363.1640625,6222994432.0,60781.7265625,78885.9609375
59,6299815936.0,61073.63671875,79371.3828125,6233118720.0,59826.73828125,78950.1015625
60,6288500736.0,61059.5078125,79300.0703125,6219928064.0,60380.30078125,78866.5234375
61,6276204032.0,61056.67578125,79222.5,6237855232.0,59760.76171875,78980.09375
62,6265041408.0,60886.0625,79152.015625,6203906560.0,60551.5234375,78764.8828125
63,6275402240.0,60930.8203125,79217.4375,6231998976.0,62764.69921875,78943.0078125
64,6265900032.0,61100.45703125,79157.4375,6225002496.0,59437.453125,78898.6875
65,6263634944.0,60892.546875,79143.1328125,6209042432.0,61915.40625,78797.4765625
66,6258724864.0,61005.5703125,79112.1015625,6189274112.0,60513.82421875,78671.9375
67,6255241728.0,60857.05859375,79090.0859375,6192256512.0,60587.48046875,78690.890625
68,6254940672.0,60866.66015625,79088.1796875,6184787968.0,61545.40234375,78643.421875
69,6255793152.0,61021.703125,79093.5703125,6250097152.0,58963.265625,79057.5546875
70,6254012416.0,60973.25390625,79082.3125,6204353024.0,61128.37890625,78767.71875
71,6245075456.0,60834.08203125,79025.7890625,6209836544.0,62327.29296875,78802.515625
72,6248058368.0,60959.8359375,79044.6640625,6167781376.0,61224.4921875,78535.2265625
73,6241162752.0,60863.7265625,79001.03125,6178973184.0,60800.76953125,78606.4453125
74,6260855808.0,61019.75390625,79125.5703125,6180077568.0,61692.16015625,78613.46875
75,6256572928.0,60894.48828125,79098.5,6170902016.0,61504.8828125,78555.0859375
